Sembol,Açıklama,Fiyat,Fiyat - Döviz,Fiyat Değişimi % 1 gün,Hacim 1 gün,Göreceli Hacim 1 gün,Piyasa değeri,Piyasa değeri - Döviz,Fiyatın kazanca oranı,"Seyreltilmiş hisse başına kar, Son 12 ay","Seyreltilmiş hisse başına kar, Son 12 ay - Döviz","Seyreltilmiş hisse başına kar büyümesi %, TTM YY",Sektör,Analist Değerlendirmesi,Endüstri,"Mali dönem bitiş tarihi, Yıllık",Borsa
SAXPF,Sampo OYJ,11.51,USD,4.636363636363634,1000010,919.5494252873564,30740378076.900528,USD,16.0694092149135,0.7162677760000001,USD,21.26484260709271,Finans,Al,Konut/Kaza Sigortası,2024-12-31,OTC
CIADF,"China Mengniu Dairy Co., Ltd.",1875,USD,0,620563,549.1222015750819,7284828988.381954,USD,,-0.010786544999999998,USD,-107.2398501922071,Dayanıklı olmayan tüketici ürünleri,Güçlü al,Yiyecek: et/balık/süt,2024-12-31,OTC
BEIGF,BeOne Medicines Ltd.,25.2946,USD,1.5032102728731835,104000,478.1609195402299,37407298717.10874,USD,633.188937104407,0.03994795,USD,,Sağlık teknolojisi,Güçlü al,Tıbbi İlaçlar: Majör,2024-12-31,OTC
CPCAF,"Cathay Pacific Airways, Ltd.",1.5,USD,-3.2258064516129057,150000,246.99489543882763,10075794025.569622,USD,8.352998379768906,0.17957623499999997,USD,19.208787954983897,Taşımacılık,Nötr,Havayolları,2024-12-31,OTC
HNTIF,Hunting Group Plc.,4.77,USD,1.0914485535657494,60553,216.02925437031752,726691961.076923,USD,,-0.2374944,USD,-131.07469899191952,Endüstriyel hizmetler,Al,Petrol Sahası Hizmetleri/Ekipman,2024-12-31,OTC
LSHGF,LOUIS HACHETTE GROUP,1.47,USD,-14.035087719298245,66312,89.90238611713666,1458234896.3724806,USD,31.752884279723723,0.046295007000000006,USD,7.248438915171833,Çeşitli Hizmetler,Güçlü al,Çeşitli Hizmetler,2024-12-31,OTC
FMCQF,Fresenius Medical Care AG,44.7125,USD,-2.8479114881190446,50272,68.23944617890592,12991916477.413015,USD,15.53797673129351,2.877626912,USD,15.07198822021921,Sağlık hizmetleri,Nötr,Tıbbi/Hemşirelik hizmetleri,2024-12-31,OTC
GTLS/PB,"Chart Industries, Inc. Depositary Shares, each Representing a 1/20th Interest in a Share of 6.75% Series B Mandatory Convertible Preferred Stock",72.6,USD,0.06891798759475831,113024,55.80054307578376,9160512776,USD,87.57539203860073,829,USD,-76.6492028618106,Üretici imalatı,Nötr,Endüstriyel makina,2024-12-31,NYSE
NRSCF,"Nomura Holdings, Inc.",6825,USD,-3.873239436619711,104115,55.5043181575861,20150797503.661163,USD,8.343928798474254,0.81796,USD,32.49125464460703,Finans,Nötr,Yatırım Bankaları/Aracı Kurumlar,2025-03-31,OTC
SSNLF,"Samsung Electronics Co., Ltd.",65.21,USD,54.051500118119534,1531,54.11658040474324,421906005779.9153,USD,18.98568792078729,3.4346925047999997,USD,-3.7678088783448906,Elektronik teknoloji,Güçlü al,Telekomunikasyon Ekipmanları,2024-12-31,OTC
MCHHF,MacMahon Holdings Ltd.,322,USD,6.102543824963747,225000,53.03476723629935,676247249.4749999,USD,14.234716865292542,0.022620752,USD,36.83274779090813,Enerji mineralleri,Güçlü al,Kömür,2025-06-30,OTC
TCNNF,Trulieve Cannabis Corporation,4.76,USD,-8.461538461538469,16337147,46.05592628186244,909913677.9485626,USD,,-0.7035682,USD,6.161657255233127,İşlenebilen endüstriler,Güçlü al,Tarımsal ürünler/değirmencilik,2024-12-31,OTC
PSNYW,Polestar Automotive Holding UK PLC Sponsored ADR Class C,0.2,USD,-2.5820624351561854,12377678,45.43212477605432,1277118140,USD,,,,,Dayanıklı tüketim malları,Nötr,Motorlu taşıtlar,2024-12-31,NASDAQ
DBSDF,DBS Group Holdings Ltd.,40.46,USD,-1.6767922235722912,158226,39.612948451543446,114738269389.20299,USD,12.963247712502618,3.12113144,USD,13.384367954814685,Finans,Al,Büyük bankalar,2024-12-31,OTC
DLAKF,Deutsche Lufthansa AG,9.25,USD,8.695652173913047,16025,37.42410088743578,11102304788.546675,USD,5.7467420781042415,1.609607648,USD,92.8569665562591,Taşımacılık,Nötr,Havayolları,2024-12-31,OTC
RTLLF,Rational AG,721.43,USD,-2.6184215499414205,290,34.93975903614457,8202659016.915604,USD,27.42080928053412,26.309580896,USD,13.820634806736582,Üretici imalatı,Nötr,Endüstriyel makina,2024-12-31,OTC
DMCOF,d'Amico International Shipping SA,6.17,USD,-0.4838709677419395,35470,31.658336308461262,744430290.8607594,USD,7.838468579616848,0.787143552,USD,-55.30337717984636,Taşımacılık,Güçlü al,Deniz nakliye,2024-12-31,OTC
AGIO,"Agios Pharmaceuticals, Inc.",22.34,USD,-50.89030556166191,17657557,28.92902103493065,1302730575,USD,,-6.9554,USD,-161.18671651638442,Sağlık teknolojisi,Al,Tıbbi İlaçlar: Majör,2024-12-31,NASDAQ
BKKPF,Bangkok Bank Public Co Ltd.,5.23,USD,14.94505494505496,60100,28.38923004251299,10014941195.382223,USD,6.662319216757879,0.7850119200000002,USD,11.227587848535128,Finans,Nötr,Bölgesel Bankalar,2024-12-31,OTC
STMEF,STMicroelectronics N.V.,23.39,USD,-4.217854217854223,10612,28.23842469398616,20871558665.72049,USD,38.06157535594391,0.6145305280000001,USD,-75.48696390975917,Elektronik teknoloji,Al,Yarıiletkenler,2024-12-31,OTC
KNBWF,"Kirin Holdings Co., Ltd.",15.84,USD,11.549295774647891,19802,26.723346828609987,12858851865.235813,USD,23.21227172313415,0.682397664,USD,-26.476996942194546,Dayanıklı olmayan tüketici ürünleri,Al,İçecekler: alkollü,2024-12-31,OTC
JGCCY,JGC Holdings Corporation Unsponsored ADR,23.48,USD,3.2541776605101234,27131,25.880950109701423,2956048431.5293694,USD,,-0.0549,USD,88.06521739130434,Endüstriyel hizmetler,Nötr,Mühendislik ve i̇nşaat,2025-03-31,OTC
SEMR,"SEMrush Holdings, Inc.",11.76,USD,73.96449704142012,43528126,25.60666585562654,1754402276.0000002,USD,,-0.0307,USD,-138.47117794486218,Teknoloji hizmetleri,Nötr,Paket Yazılım,2024-12-31,NYSE
ISUZF,"Isuzu Motors, Ltd.",14.58,USD,-15.23255813953488,23856,25.11157894736842,10362487609.862333,USD,,,,,Dayanıklı tüketim malları,Al,Motorlu taşıtlar,2025-03-31,OTC
EIFZF,Exchange Income Corp.,54.87,USD,3.7240075614366708,102782,24.884875190664115,2978793008.581592,USD,29.263110401443797,1.875057,USD,9.646826641435696,Taşımacılık,Güçlü al,Havayolları,2024-12-31,OTC
SNWGF,SNOWLINE GOLD CORP,9.4,USD,9.787432842793752,1509965,24.483761700996077,1626355577.5057037,USD,,-0.2131024,USD,-50.57252774758647,Enerji-dışı mineraller,Güçlü al,Değerli Metaller,2024-12-31,OTC
ALPKF,Alpek SAB DE CV,0.5,USD,-6.629318394024272,244304,23.54351576127285,1053350734.7391788,USD,,-0.07285697999999999,USD,70.0596712227254,İşlenebilen endüstriler,Al,Kimyasallar: özel,2024-12-31,OTC
RJF/PB,"Raymond James Financial, Inc. Depositary Shares, each representing a 1/40th interest in a share of 6.375% Fixed-to-Floating Rate Series B Non-Cumulative Perpetu",25.28,USD,-0.4724409448818797,90604,23.213343239988728,31446840334,USD,2.4584743455090052,10.2828,USD,6.006061730685959,Finans,Nötr,Yatırım yöneticileri,2025-09-30,NYSE
