Hisse Kodu	Şirket Adı	Sektör(ler)
BORLS	Borlease Otomotiv A.Ş.	Servis Taşımacılığı ve Araç Kiralama
DARDL	Dardanel Önentaş Gıda Sanayi A.Ş.	Gıda ve İçecek
PAHOL	Pasifik Holding A.Ş.	Holding
DUNYH	Dünya Holding A.Ş.	Holding
RALYH	Ral Yatırım Holding A.Ş.	Holding
EYGYO	EYG Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
VAKFA	Vakıf Faktoring A.Ş.	Faktoring
YKSLN	Yükselen Çelik A.Ş.	Ana Metal, İmalat
UMPAS	Umpaş Holding A.Ş.	Holding
FZLGY	Fuzul Gayrimenkul Yatırım Ortaklığı AŞ	Gayrimenkul
GOLTS	Göltaş Göller Bölgesi Çimento Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento
GUNDG	Gündoğdu Gıda Süt Ürünleri Sanayi ve Dış Ticaret A.Ş.	Gıda ve İçecek
GMTAS	Gimat Mağazacılık Sanayi ve Ticaret A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
HEDEF	Hedef Holding A.Ş.	Holding
HEKTS	Hektaş Ticaret T.A.Ş.	Kimya ve Plastik, İmalat
ONCSM	Oncosem Onkolojik Sistemler Sanayi ve Ticaret A.Ş.	İlaç ve Sağlık
PRKME	Park Elektrik Üretim Madencilik Sanayi ve Ticaret A.Ş.	Enerji Üretim ve Dağıtım
SNICA	Sanica Isı Sanayi A.Ş.	İmalat, Metal Eşya ve Makine
HURGZ	Hürriyet Gazetecilik ve Matbaacılık A.Ş.	Kağıt ve Kağıt Ürünleri
KLSER	Kaleseramik, Çanakkale Kalebodur Seramik Sanayi AŞ	Cam, Seramik, Porselen
KONTR	Kontrolmatik Teknoloji Enerji ve Mühendislik A.Ş.	Bilişim ve Yazılım, Enerji Teknolojileri
KLGYO	Kiler Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
LKMNH	Lokman Hekim Engürüsağ Sağlık, Turizm, Eğitim Hizmetleri ve İnşaat Taahhüt A.Ş.	İlaç ve Sağlık
TMSN	Tümosan Motor ve Traktör Sanayi A.Ş.	Otomotiv
GRTRK	Graintürk Holding A.Ş.	—
ISGYO	İş Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
ADGYO	Adra Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
MPARK	Mlp Sağlık Hizmetleri A.Ş.	İlaç ve Sağlık
AKBNK	Akbank T.A.Ş.	Bankacılık
ALKLC	Altınkılıç Gıda ve Süt Sanayi Ticaret A.Ş.	Gıda ve İçecek
CASA	Casa Emtia Petrol Kimyevi ve Türevleri Sanayi Ticaret A.Ş.	Kimya ve Plastik
OZYSR	Özyaşar Tel ve Galvanizleme Sanayi A.Ş.	Ana Metal
ROYAL	Royal Halı İplik Tekstil Mobilya Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
AHSGY	AHES Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
ANSGR	Anadolu Anonim Türk Sigorta Şirketi	Sigorta
BOBET	Boğaziçi Beton Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento
BURVA	Burçelik Vana Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
BVSAN	Bülbüloğlu Vinç Sanayi ve Ticaret A.Ş.	İmalat
DAGI	Dagi Giyim Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
DENGE	Denge Yatırım Holding A.Ş.	Holding
EGSER	Ege Seramik Sanayi ve Ticaret A.Ş.	Cam, Seramik, Porselen
HRKET	Hareket Proje Taşımacılığı ve Yük Mühendisliği A.Ş.	Ulaştırma, Destek ve Hizmet
HALKB	Türkiye Halk Bankası A.Ş.	Bankacılık
PETKM	Petkim Petrokimya Holding A.Ş.	Kimya ve Plastik
HATSN	Hat-San Gemi İnşaa Bakım Onarım Deniz Nakliyat Sanayi ve Ticaret A.Ş.	İmalat
RUZYE	Ruzy Madencilik ve Enerji Yatırımları Sanayi ve Ticaret A.Ş.	Madencilik ve Taş Ocakçılığı
SELVA	Selva Gıda Sanayi A.Ş.	Gıda ve İçecek
SKYLP	Skyalp Finansal Teknolojiler ve Danışmanlık A.Ş.	Bilişim ve Yazılım
DURDO	Duran Doğan Basım ve Ambalaj Sanayi A.Ş.	Kağıt ve Kağıt Ürünleri, Ambalaj
